[2026-01-22 12:45:02] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:51:51] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:57:46] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:59:52] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:04:57] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:07:25] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:08:38] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:12:38] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:13:57] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:16:16] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
